X,Y,OCC_LABEL,DST_STRUCT,EM_APPRES,MAGNETIC
322103.3861,7595450.217,-9999,-9999,756.6507568,-138.3848419
324103.3861,7595450.217,-9999,4527.692383,1084.245728,-215.1839294
326103.3861,7595450.217,-9999,4031.128906,1076.63501,-114.8936844
328103.3861,7595450.217,-9999,2500,1035.433716,-104.3049545
330103.3861,7595450.217,-9999,2000,330.8368225,32.6535454
332103.3861,7595450.217,-9999,2828.427246,858.0570679,-0.6177124
334103.3861,7595450.217,-9999,2915.47583,863.019165,299.3204041
336103.3861,7595450.217,-9999,1414.213623,759.7590332,84.1241455
338103.3861,7595450.217,-9999,500,676.2451782,74.3043442
340103.3861,7595450.217,-9999,2061.552734,975.0494385,146.7498016
342103.3861,7595450.217,-9999,3807.886475,166.8609619,-31.4212837
344103.3861,7595450.217,-9999,4000,471.3473511,124.4082413
346103.3861,7595450.217,-9999,4272.001953,666.3505859,-16.8099194
348103.3861,7595450.217,-9999,5315.072754,435.2022705,-72.5310745
350103.3861,7595450.217,-9999,5852.350098,871.6573486,155.8655396
352103.3861,7595450.217,-9999,4949.747559,490.2512817,291.4397583
354103.3861,7595450.217,-9999,3535.533936,742.9263916,94.4739456
356103.3861,7595450.217,-9999,1802.775635,318.1359863,-161.3917236
358103.3861,7595450.217,-9999,0,1226.113159,118.1006393
360103.3861,7595450.217,-9999,0,315.7278137,-156.8107452
362103.3861,7595450.217,-9999,1000,762.055481,-34.9383469
364103.3861,7595450.217,-9999,1000,904.3562012,-164.1860504
366103.3861,7595450.217,-9999,0,1011.711731,-136.2364655
368103.3861,7595450.217,-9999,1581.138794,1008.525452,-123.9775085
370103.3861,7595450.217,-9999,0,1150.067139,-80.4960861
372103.3861,7595450.217,-9999,500,534.588501,-58.3467255
374103.3861,7595450.217,-9999,1500,821.1246338,-124.5242462
376103.3861,7595450.217,-9999,1000,706.8179932,-121.3630447
378103.3861,7595450.217,-9999,500,1192.839966,-117.2341385
380103.3861,7595450.217,-9999,1118.033936,1309.1073,-114.6393051
382103.3861,7595450.217,-9999,0,1239.854492,-96.3619919
384103.3861,7595450.217,-9999,1414.213623,1159.24585,-87.8652954
386103.3861,7595450.217,-9999,1000,862.4990234,-148.1484375
388103.3861,7595450.217,-9999,1500,584.5892334,-116.5281143
390103.3861,7595450.217,-9999,500,968.5228882,-151.1087341
392103.3861,7595450.217,-9999,1000,959.159729,-102.1005554
