id,x,y,AEM_Re,AEM_ReIm,AM_DGRF
0,461060.20816556,6950425.37020463,40.3923,0.438483,-86.867302
1,461560.20816556,6950425.37020463,4.27847,0.064835,-87.687103
2,462060.20816556,6950425.37020463,10.1009,0.146176,-85.5504
3,462560.20816556,6950425.37020463,11.7667,0.254667,-94.867302
4,463060.20816556,6950425.37020463,4.84179,0.14556,-101.235001
5,463560.20816556,6950425.37020463,11.8015,0.098857,-102.646004
6,464060.20816556,6950425.37020463,-15.6687,0.269192,-110.690002
7,464560.20816556,6950425.37020463,15.9661,0.05128,-124.470001
8,465060.20816556,6950425.37020463,34.718399,0.165183,-139.061996
9,465560.20816556,6950425.37020463,22.1143,0.237208,-116.677002
10,466060.20816556,6950425.37020463,25.102301,0.386291,-126.023003
11,466560.20816556,6950425.37020463,35.613701,0.201904,-141.020004
12,467060.20816556,6950425.37020463,-12.833,-0.10032,-142.281998
13,467560.20816556,6950425.37020463,74.020302,0.423707,-133.503006
14,468060.20816556,6950425.37020463,177.429993,0.566765,-128.643997
15,468560.20816556,6950425.37020463,47.714199,0.416075,-63.3922
16,461060.20816556,6949925.37020463,15.4069,0.103128,-85.195396
17,461560.20816556,6949925.37020463,15.6103,0.297695,-90.674301
18,462060.20816556,6949925.37020463,14.1174,0.550997,-91.9608
19,462560.20816556,6949925.37020463,18.070999,0.372147,-101.248001
20,463060.20816556,6949925.37020463,14.9953,0.32416,-104.907997
21,463560.20816556,6949925.37020463,-16.941299,-0.964839,-105.621002
22,464060.20816556,6949925.37020463,8.27011,0.066512,-114.008003
23,464560.20816556,6949925.37020463,-0.368897,-0.006177,-124.344002
24,465060.20816556,6949925.37020463,7.26746,0.079212,-144.315002
25,465560.20816556,6949925.37020463,17.554899,0.177274,-143.809006
26,466060.20816556,6949925.37020463,34.259998,0.5714,-105.706001
27,466560.20816556,6949925.37020463,22.1898,0.181209,-139.028
28,467060.20816556,6949925.37020463,283.256012,1.32079,-112.732002
29,467560.20816556,6949925.37020463,89.440002,0.46582,-136.419006
30,468060.20816556,6949925.37020463,53.186401,0.401269,-144.063995
31,468560.20816556,6949925.37020463,35.090302,0.186046,166.360001
32,461060.20816556,6949425.37020463,18.2188,0.271816,-43.206699
33,461560.20816556,6949425.37020463,11.6455,0.220443,-76.640404
34,462060.20816556,6949425.37020463,30.6675,0.277234,-86.350998
35,462560.20816556,6949425.37020463,34.057499,0.96066,-92.147003
36,463060.20816556,6949425.37020463,8.62597,0.164373,-115.085999
37,463560.20816556,6949425.37020463,8.78514,0.294662,-113.952003
38,464060.20816556,6949425.37020463,49.5462,0.144571,-129.815994
39,464560.20816556,6949425.37020463,41.272099,0.206608,-138.070999
40,465060.20816556,6949425.37020463,-4.55642,-0.047658,-173.026001
41,465560.20816556,6949425.37020463,4.32484,0.075641,-165.421005
42,466060.20816556,6949425.37020463,17.108601,0.29007,-130.606995
43,466560.20816556,6949425.37020463,-34.435799,-0.713096,-127.295998
44,467060.20816556,6949425.37020463,60.509201,0.535078,-136.494995
45,467560.20816556,6949425.37020463,14.0371,0.130061,-138.352005
46,468060.20816556,6949425.37020463,-46.718399,-5.04832,-141.733994
47,468560.20816556,6949425.37020463,21.6287,0.140629,-116.546997
48,461060.20816556,6948925.37020463,16.280199,0.605942,-43.381001
49,461560.20816556,6948925.37020463,6.52499,0.032908,-65.648003
