# x y som_x som_y cluster b_Alpha b_Bravo b_Charlie b_Delta Alpha Bravo Charlie Delta
340000.000000 7450000.000000 49 15 0 19931.279297 49.828205 9.965640 4982.819824 10009.375000 30.028126 2.001875 4003.750244
340000.000000 7450100.000000 46 16 4 10987.515625 34.960278 0.998865 5993.190430 10005.646484 30.016939 2.001129 4002.258545
340000.000000 7450200.000000 46 15 0 19933.636719 49.834091 9.966819 4983.409180 9988.020508 29.964062 1.997604 3995.208252
340000.000000 7450300.000000 45 14 0 19960.832031 49.902084 9.980416 4990.208008 9985.904297 29.957712 1.997181 3994.361816
340000.000000 7450400.000000 12 11 2 10347.701172 28.394825 1.644089 4538.464844 9927.715820 29.783148 1.985543 3971.086182
340000.000000 7450500.000000 6 0 5 9996.416992 19.992870 1.999289 3498.753174 9968.029297 29.904087 1.993606 3987.211670
340000.000000 7450600.000000 44 49 5 10075.671875 30.227011 2.015134 4030.267334 10085.264648 30.255795 2.017053 4034.105957
340000.000000 7450700.000000 18 13 2 10392.514648 29.027712 1.598458 4649.574707 9960.724609 29.882174 1.992145 3984.289795
340000.000000 7450800.000000 47 25 4 10965.232422 34.889385 0.996839 5981.034668 10029.808594 30.089426 2.005962 4011.923584
340000.000000 7450900.000000 48 13 0 19936.490234 49.841232 9.968246 4984.122559 10007.886719 30.023661 2.001577 4003.154785
340000.000000 7451000.000000 11 8 2 10335.012695 28.077723 1.658324 4498.496582 9908.738281 29.726213 1.981748 3963.495117
340000.000000 7451100.000000 19 1 2 10390.330078 28.382685 1.607646 4604.750977 9982.523438 29.947571 1.996505 3993.009521
340000.000000 7451200.000000 19 13 2 10399.423828 29.110447 1.591355 4666.020996 9964.330078 29.892990 1.992866 3985.732178
340000.000000 7451300.000000 47 13 0 19936.373047 49.840927 9.968187 4984.093262 10001.796875 30.005390 2.000359 4000.718750
340000.000000 7451400.000000 47 46 5 10081.215820 30.243649 2.016243 4032.486084 10080.891602 30.242674 2.016178 4032.356445
340000.000000 7451500.000000 20 4 0 20089.343750 50.223362 10.044673 5022.335938 9926.641602 29.779926 1.985328 3970.656738
