# som_x som_y b_data1 b_data2 b_data3 umatrix cluster
0 0 0.700000 1.300000 0.300000 0.362336 6
0 1 0.950000 1.550000 0.850000 0.569674 5
0 2 1.200000 1.800000 1.400000 0.344231 1
0 3 1.200000 1.800000 1.400000 0.000000 1
0 4 1.200000 1.800000 1.400000 0.000000 1
1 0 0.800000 1.350000 0.450000 0.218391 0
1 1 0.831540 1.365770 0.497310 0.404891 0
1 2 1.200000 1.800000 1.400000 0.476648 1
1 3 1.200000 1.800000 1.400000 0.143579 1
1 4 1.200000 1.800000 1.400000 0.041047 1
2 0 0.900000 1.400000 0.600000 0.063032 3
2 1 0.900000 1.400000 0.600000 0.157320 3
2 2 0.900000 1.400000 0.600000 0.462054 3
2 3 1.134735 1.712980 1.225960 0.338468 7
2 4 1.200000 1.800000 1.400000 0.041047 1
3 0 0.900000 1.400000 0.600000 0.000000 3
3 1 0.900000 1.400000 0.600000 0.238049 3
3 2 0.900000 1.400000 0.600000 0.646143 3
3 3 1.200000 1.800000 1.400000 1.233421 1
3 4 1.200000 1.800000 1.400000 1.063598 1
4 0 0.900000 1.400000 0.600000 0.000000 3
4 1 0.900000 1.400000 0.600000 0.380879 3
4 2 0.302246 -0.332520 0.082520 1.755958 2
4 3 0.472656 -0.107178 0.371338 1.431324 4
4 4 0.183838 -0.391846 -0.068115 2.084015 2
